Carlsplatz 18, 40213 Düsseldorf
Kirchfeldstr. 139, 40215 Düsseldorf
Scheurenstr. 9-11, 40215 Düsseldorf
Fürstenwall 146, 40217 Düsseldorf
Bilker Allee 57, 40219 Düsseldorf
Gumbertstr. 125, 40229 Düsseldorf
Reisholzerstr. 13, 40231 Düsseldorf
Zeppelinstr. 3-7, 40231 Düsseldorf
Bruchstr. 89-91, 40235 Düsseldorf
Grafenberger Allee 368, 40235 Düsseldorf
Rethelstr. 154-156, 40237 Düsseldorf
Zur alten Kaserne 2, 40470 Düsseldorf
Westfalenstr. 24-32, 40472 Düsseldorf
Münsterstr. 100, 40476 Düsseldorf
Nordstr. 44, 40477 Düsseldorf
Tussmannstr. 41-63, 40477 Düsseldorf
Friedrich-Von-Spee-Str. 8-12, 40489 Düsseldorf
Luegallee 55, 40545 Düsseldorf
Schiessstr. 31, 40549 Düsseldorf
Theo-Champion-Str. 1, 40549 Düsseldorf
Kölner Landstr. 203-213, 40591 Düsseldorf
Hauptstr. 6-8, 40597 Düsseldorf
Altenbrückstr. 15, 40599 Düsseldorf
Benderstr. 70, 40625 Düsseldorf
Breidenplatz 1, 40627 Düsseldorf
Kronenstr. 7, 70173 Stuttgart
Breitscheidstr. 10, 70174 Stuttgart
Hauptstätter Str. 147, 70178 Stuttgart
Rotebühlplatz 21-25, 70178 Stuttgart
Olgastr. 86, 70180 Stuttgart
Ostendstr. 75, 70188 Stuttgart
Rotenwaldstr. 140, 70197 Stuttgart
Rückertstraße 7, 70197 Stuttgart
Schwabstr. 43, 70197 Stuttgart
Naststr. 17, 70376 Stuttgart
Unterländer Str. 49, 70435 Stuttgart
Sontheimer Str. 10, 70437 Stuttgart
Freihofstr. 22-24, 70439 Stuttgart
Löwen-Markt 5, 70499 Stuttgart
Industriestr. 5, 70565 Stuttgart
Epplestrasse 40-44, 70597 Stuttgart
Marienplatz 8-10, 70178 Stuttgart
Ostendstr. 90, 70188 Stuttgart
Ulmerstr. 296, 70327 Stuttgart
Otto-Hirsch-Brücken 17, 70329 Stuttgart
Burgunderstr. 28-32, 70435 Stuttgart
Vaihinger Str. 49, 70567 Stuttgart
Badstr. 11, 70372 Stuttgart
Sophie-Tschorn-Straße 4, 70374 Stuttgart
Willy-Brandt-Platz 4, 04103 Leipzig
Hainstr. 21-29, 04109 Leipzig
Petersstr. 33-35, 04109 Leipzig
Birkenring 12, 04158 Leipzig
Georg-Schwarz-Str. 139-141, 04179 Leipzig
Ludwigsburger Str. 9, 04209 Leipzig
Tarostr. 2, 04103 Leipzig
Elsterstr. 22, 04109 Leipzig
Wittenberger Str. 83, 04129 Leipzig
Breitenfelder Str. 1A, 04155 Leipzig
Georg-Schumann-Str. 60, 04155 Leipzig
An der Kotsche 9, 04207 Leipzig
Grünauer Allee 38, 04209 Leipzig OT Grünau-Ost
Stuttgarter Allee 29, 04209 Leipzig
Antonienstr. 19, 04229 Leipzig
Zschochersche Str. 14a, 04229 Leipzig
Zschochersche Str. 82 b, 04229 Leipzig
Scheffelstr. 34, 04277 Leipzig
Bornaische Str. 111, 04279 Leipzig
Franzosenallee 10, 04289 Leipzig
Holzhäuserstr. 110, 04299 Leipzig
Riebeckstr. 10-14, 04317 Leipzig
Leonhard-Frank-Str. 65, 04318 Leipzig
Gorkistr. 55, 04347 Leipzig
Mockauer Str. 123, 04357 Leipzig
Rosenowstr. 30 b, 04357 Leipzig
Kreuzstr. 31, 04315 Leipzig
Kampstr. 1, 44137 Dortmund
Rheinische Str. 47, 44137 Dortmund
Rittershausstr. 65, 44137 Dortmund
Landgrafenstr. 153, 44139 Dortmund
Saarlandstr. 76-78, 44139 Dortmund
Märkische Str. 75, 44141 Dortmund
Körner Hellweg 37, 44143 Dortmund
Wambeler Hellweg 122, 44143 Dortmund
Wismarer Str. 2-4, 44143 Dortmund
Bülowstraße 6, 44147 Dortmund
Planetenfeldstr. 24, 44149 Dortmund
Hagener Str. 150, 44225 Dortmund
Harkortstr. 35, 44225 Dortmund
Stockumer Str. 401, 44227 Dortmund
Kirchhörder Straße 54, 44229 Dortmund
Fred-Ape-Weg 77, 44263 Dortmund
Hörder Bahnhofstr. 48, 44263 Dortmund
Hörder Bahnhofstr. 8-14, 44263 Dortmund
Rathenaustr. 25, 44263 Dortmund
Preinstr. 148, 44265 Dortmund
Pfarrer-Rüter-Weg 2, 44267 Dortmund
Berghoferstr. 163, 44269 Dortmund
Schwerter Str. 299, 44287 Dortmund
Wittbräucker Str. 51, 44287 Dortmund
Am Funkturm 70, 44309 Dortmund
Flughafenstr. 147, 44309 Dortmund
Asselner Hellweg 94, 44319 Dortmund
Husenerstr. 50, 44319 Dortmund
